001325-0001	Highly recommended
330966-0005	I chose the later, but approached the front desk about the hotel policy to push over their responsibilities on local authorities, not to mention the good nights sleep i paid for but didnt get.
330966-0006	I was told management would call me back but still waiting for that call.
330966-0007	I will probably stay here again because its cheap and I cant afford a better hotel, but do not look forward to it and would definitely not recommend this hotel for families or single female travellers.
331662-0001	Nice selection, very clean, friendly staff!
331662-0002	Hot Iron has become a favorite of our family.
331662-0003	Everyone can get the signature dish with ingredients and spices that they want and have the fun of watching it cook.
331662-0004	The staff are very friendly and conscientious.
331662-0005	They always ask if you have meat in your dish, (for vegetarians like me), they scrub an area of the grill and use separate utensils to cook.
331662-0006	They don't just dump your ingredients on and cook either, but carefully separate meat to the hotter parts of the grill and still manage to keep the veggies from turning to mush.
331662-0007	The selection of meats, veggies and sauces is awesome too!
331662-0008	Every time we go they seem to have a different ingredient or two which keeps things interesting.
331662-0009	Meats are kept VERY cold, seafood smells fresh and the serving bar is VERY clean.
331662-0010	Prices are reasonable, (Kids meals are around 4.99) and Wednesday's they have discount dinner prices, I believe.
332068-0001	Would not recommend I Was in a fair amount of pain for several weeks.
332068-0002	his clinic is very very dirty he is a real disaster to go totally not organized for every step he take .
332105-0001	My wife and I avoided doing some fairly simple electrical re-wiring in our home for several years due to overall hassle and cost involved.
332105-0002	I finally called Matt from Bonafide and he made the project both easy for us and reasonable.
332105-0003	He was prompt, knowledgable, friendly, clean and just an overall great guy who obviously cares about his business.
332105-0004	I will reccommend his services however/whenever possible!
332476-0001	Amazing Pictures at an Amazing Price
332476-0002	Rendy is totally amazing.
332476-0003	She gave me amazing pictures at an amazing price and made my wedding day so memorable.
332476-0004	She was way easy to work with and made my wedding day so easy and she got some amazing pictures, not only of me, but of my family and friends.
332476-0005	She is amazing.
332476-0006	I would recommend her to anyone!
332785-0001	Thanks for following me around the store
332785-0002	Enough said.
332785-0003	I don't steal, I wasn't acting suspiciously.
332785-0004	I was ready to buy a new jacket, a new sweater and a couple of your overpriced belts and I walked out because of your obvious lurking
332972-0001	The best pizza ever im fat so ive had a ton of pizza other than pizza from chicago its the best
333243-0001	Very unhappy ...
333243-0002	Working with Rod Jacobsen was my first experience working with a CPA, so I did not know what to expect.
333243-0003	That said - he seemed to be doing well enough.
333243-0004	However, then I asked to amend my return to apply a credit I had just become eligible for.
333243-0005	I expected to pay for this service, but imagine my surprise when I received a bill for MORE than what I paid to have the original return prepared.
333243-0006	Asked why, Rod simply told me that he had to research how to do the amendment (it was an amended to show that I had purchased a home - nothing out of the ordinary, one would think) and that took time to figure out.
333243-0007	Well, that was strike one.
333243-0008	I wasn't going to use them again, but I was going to leave it at that.
333243-0009	However, now that I have come to realize that I am going to owe the IRS $6,000+ despite doing exactly what Rod told me to do, I feel I have to voice my opinion.
333243-0010	Last year, after all was said and done, I asked Rod whether my payment structure would leave me with no/little tax liability at the end of the year.
333243-0011	He said yes.
333243-0012	Well, again, I am now faced with a tax bill of $6,000+, all due on April 15, 2010 and all that Rod has to say to the matter is 'well, you won't have to pay a penalty.'
333243-0013	I may not have to pay a penalty, yet, but this is NOT what I had in mind when hired these guys.
333243-0014	In the words of my new accountant, THEY LET ME DOWN!
333628-0001	WHAT A GREAT DEAL THANK YOU
333672-0001	Best Car Dealer in TX
333672-0002	I purchased a nissan from this dealship.
333672-0003	The sales men were very knowledgeable about every aspect of every car we looked at.
333672-0004	They were very patient and helpful from showing the cars to doing the paperwork.
333672-0005	The paperwork was a very easy and smooth.
333672-0006	They tried to run my credit score as less as possible so it won't hurt my score.
333672-0007	Overall, I was very happy with the customer service and my purchase.
333672-0008	If you're looking to buy a car, definitely give them a call.
333672-0009	They have a huge inventory.
334388-0001	No way.
334388-0002	I'm certainly no expert on asian food in fact not even a lover of Vietnamese food but I wanted to try the real things here at A Dong.
334388-0003	Cold, slimy, tasteless however is the same in all languages and foods.
334388-0004	Not good, not great, and again another disappointment in Central Iowa.
334388-0005	How do these places stay in business.
334388-0006	This town needs some food soul and this is not it.
334808-0001	Great deals, great pizza!
334928-0001	One of the better vegetarian sandwiches I've had in Seattle.
334928-0002	And from a place that specializes in high quality meat, too.
335225-0001	Best Salsa (hehehe)
335225-0002	After my trees were cleaned up, they gave me a jar of salsa.
335225-0003	The owner warned me that it was the best salsa I would ever had, and he was right.
335225-0004	No joke!
335225-0005	I hate to say check them out just for the salsa, but James, I NEED another jar badly :) All kidding aside, they are a very good company, I have a hard time giving any service biz a 5 star review but they came close.
335225-0006	Very affordable (don't call it cheap) and their trimmers were quick and courteous when I got home from work.
335225-0007	And the salsa, be sure to ask for a jar and have plenty of chips around, you will need them.....
335490-0001	Cleanest guesthouse i have been to
335490-0002	Stayed here for 2 nights.
335490-0003	The owner was very friendly and helpful.
335490-0004	The rooms were very clean and the breakfast was excellent.
335490-0005	Good location and off road parking made our stay very convenient.
335815-0001	Very poor customer service.
335815-0002	There are a couple decent people working there, but the rest are VERY dishonest, as well as rude, I have yet to hear the truth come out of their mouths.
336049-0001	Not what i expected!
336049-0002	We read the good reviews before going and had high hopes.. but to our dismay it didnt turn out that way!
336049-0003	~It took over 40 mins to be taken to our table, once there it took another 20 mins to get our orders and a further 45 mins till our starters landed on our table.
336049-0004	Very frustrating for a restaurant that has 1 rosette and is supposedly renowned for the service... hmm There was no canape's or amuse to keep us occupied, once we complained about the wait they took us something to nibble on but that took us getting out our chairs and wondering round to do that and it was impossible to get anyones attention.
336049-0005	Scallops were overcooked and the foie gras was cold but the rest of the food was lovely.
336049-0006	On top of that though they tried to charge us service charge just to rub it it....
336049-0007	Wouldn't go back as there are a lot of places A LOT better and cheaper.
336285-0001	What a Preschool!
336285-0002	If you want the best for your child, don't hesitate in visiting this wornderful school.
336285-0003	This is the very best in the Gables.
336305-0001	hard to forgive such an awful margarita and steep prices but the food can be good
337971-0001	Great graphic design work!
337971-0002	Fresh Design Studio helped jump-start my own business by providing affordable and effective marketing materials: logo, flyers, posters ad design, and more.
337971-0003	They have unbeatable price in town and deliver on time.
337971-0004	I enjoy working with this architectural and graphic design firm and will recommend to anyone.
338429-0001	Identity Theft
338429-0002	Myself and my fiance's identity was stolen from the office staff.
338429-0003	We were told by a detective and asked to check our credit for anything unusual.
338429-0004	Luckily they caught the crooks before they did one on us.
338429-0005	It was a black female that use to work in the office.
338429-0006	She stole the information and gave it to another guy that did all the work.
338429-0007	The other guy was pulled over one day and a cop saw suspicious papers with names and social security numbers on it.
338429-0008	Thats how they were caught.
338429-0009	They both went to jail and a new manager was put in charge of the apartments.
338429-0010	The apartment across from mine belonged to a gang of hookers.
338429-0011	Nobody lived there.
338429-0012	A girl would show up, then a guy in a nice car would show up.
338429-0013	Short time later the guy would leave, then the girl.
338429-0014	My apartment was usually quiet.
338429-0015	I lived in one that did not face the parking lot.
338429-0016	Parking spaces are just big enough for a Mini Cooper.
338429-0017	It sucked having an SUV.
338429-0018	If I found a spot, I couldnt fit in it.
338429-0019	Gates worked 30% of the time at best.
338429-0020	Bugs were a small problem, nothing too bad.
339176-0001	Great Prices, Great service!
339176-0002	I've been to this shop twice (once for an inspection and again for an oil change) and they truly live up to their name: Discount!
339176-0003	They have all kind of coupons available for car washes, oil changes, state inspection, etc.
339176-0004	The thing is, you still get high quality service at nicely discounted rates!
339176-0005	There is even free coffee and bottles of water if you'd like.
339176-0006	The owner is a pleasant guy and I would trust my car with him or any of his workers.
339176-0007	Top notch, all the way!
340848-0001	Top notch eats!
340848-0002	So here we are in Manson.
340848-0003	Manson?
340848-0004	Yes, Manson.
340848-0005	Right near Chelan.
340848-0006	Aka Nowheresville.
340848-0007	And this litttle gem of a 7-table restaurant is a complete and utterly wonderful surprise.
340848-0008	A short but wide-ranging menu executed with innovative perfection in a cozy hole in the wall just off the main street.
340848-0009	Fantastic food served without pretense, very reasonably priced wine selections.
340848-0010	A great place to go for dinner after a day of wine tasting.
340891-0001	The food tasted like rat feces
341397-0001	these guys were fantastic!
341397-0002	they fixed my garage doors in literally less than an hour.
341397-0003	the guy came on time and didn't take any breaks, he went straight to work and finished the job efficiently and promptly!
341397-0004	i couldn't be more happier with the way my garage looks.
341397-0005	GREAT JOB GUYS!
341435-0001	Nice and quiet place with cosy living room just outside the city.
341750-0001	Not so good
341750-0002	Not worth the money.
341750-0003	Bland and over cooked.
341750-0004	I felt as if I was in an over priced Olive Garden.
341750-0005	I was hoping to have found a regular place to eat.
341750-0006	But not so.
342807-0001	Great, and probably the only West Indian spot worth hitting up in Nashville.
342807-0002	I was born and raised in Toronto, which has a huge West Indian (Trinidadian, Jamaican, etc) population.
342807-0003	So huge in fact, that Toronto slang is influenced by and has Jamaican references, and Jamaican beef patties are staples in my high school cafeteria.
342807-0004	Anyway, I was practically raised on this stuff, and being a connoisseur of West Indian cuisine, Jamaica Way is a bit toned down to suit the American palette.
342807-0005	All you have to do to make it authentic Jamaican food, is add a whole lot of pepper.
342807-0006	Alot.
342811-0001	Friendly staff, but definitely some problems
342811-0002	May, 2009.
342811-0003	We were booked at the Sheraton with a number of other out-of-town wedding guests.
342811-0004	Got put into the wrong room the first night, and were quite surprised to have someone with the same room key trying to get in the door at 1:00 am!
342811-0005	Next day got moved into another room, on the same floor with other wedding guests.
342811-0006	There were 3 adults in our room but towels for only 2, no linens for sofa bed.
342811-0007	In the second room it took 3 tries to get all the towels and linens we requested.
342811-0008	A package and some wedding cards were left in our first room.
342811-0009	They were sent to our second room and had been opened--the ribbon-wrapped present, and all 3 envelopes.
342811-0010	Security in the hotel seemed to be excellent, but we were never given an explanation as to why someone would open these items.
342811-0011	A mid-afternoon "fire drill" was disruptive, putting everyone out of the hotel.
342811-0012	When we called the front desk about an extremely boisterous crowd in the hall outside our door quite late at night, it seemed to take the hotel staff quite a while to quiet them down.
342811-0013	The staff was friendly, especially the front desk female supervisor, and seemed to want to help, but too many unusual things happened to make us want to stay there again.
343035-0001	Excellent piano lessons
343035-0002	I'm very happy with the piano lessons Mrs. Lynda Mcmanus taught me.
343035-0003	Now I'm able to play the piano pretty well.
343336-0001	Got to love this place.
343336-0002	Everyone is relaxed and having fun!!!
343813-0001	Bad Service
343813-0002	Definately won't be returning.
343813-0003	Travelled 40mins after calling to see if a product was in stock.
343813-0004	Told that they had plenty.
343813-0005	Get there and there was nothing.
343813-0006	Not impressed!!!
345182-0001	Do not use this company!
345182-0002	I dropped off a sheet metal piece that I needed copied due to th it was needing to be replaced.
345182-0003	I asked if they could copy the piece I dropped off.
345182-0004	They said it would be made exactly like the one I needed to replace.
345182-0005	I picked it up when it was finished and was charge 30.00.
345182-0006	When I got to the job and tried to insert the new piece of metal IT WOULD NOT FIT!!
345182-0007	I took the original piece of metal and rigged it to make due since I had to complete the job.
345182-0008	I took the receipt and the metal that did not fit and asked Pomper for my money back.
345182-0009	The girl at the desk was sooo rude I could not believe it!
345182-0010	She told me she could not use the piece I was returning and the company would only put it in the trash so I could not return it.
345182-0011	I explained I did not get what I paid for.
345182-0012	She asked me to bring the original piece back and I told her I had to use it on the job.
345182-0013	She told me that was to bad she would do nothing to help me since she could not use or resell the piece.
345182-0014	I said I was going to trash it also and could I at least have a credit.
345182-0015	With a smirk on her face she told me NO MONEY IS BEING RETURNED and THAT IS THE WAY IT WAS.
345182-0016	DO NOT USE THIS COMPANY.
345182-0017	There are to many people that need our business to have to put up with this unfair treatment!!!!!
345455-0001	First Time Ballerina
345455-0002	My daughter is starting ballet this year for the first time.
345455-0003	I'ma soccer mom so I wasn't sure what I was looking for when it comes to dancewear.
345455-0004	The staff was very helpful and gave me exactly what I needed for my first time ballerina.
345455-0005	The service at Instep was great!!
345455-0006	I would recommend them to anyone!
346074-0001	Did a great job of removing my tree in Conyers.
346074-0002	Thanks Southland.
346563-0001	A TERRIBLE EXPERIENCE!
346563-0002	I remain unhappy.
346563-0003	I still have noticeable scarring.
346563-0004	I still have surgically induced hair loss.
346563-0005	My results were just AWFUL.
346563-0006	My post-op treatment was TERRIBLE.
346563-0007	I wouldn't recommend this place last year, and I certainly wouldn't recommend them this year.
346627-0001	Fantastic Place to buy your next vehicle
346627-0002	We have never had a bad experience buying from Edmark.
346627-0003	This is car number 3 we've purchased through them.
346627-0004	We trust and appreciate Scott Larson and know that he will always take good care of us and listen to our needs!
346627-0005	Thank you again for great customer service!
346960-0001	Excellent customer service and quality work.
346960-0002	They went the extra mile to repair my cowboy boots-- they had to have a special kind of paper that looked like wood grain to fix the heels.
346960-0003	That was 4 years ago.
346960-0004	I haven't been able to find a shoe repair place in Seattle since that has been able to do it.
346960-0005	(I've been through at least 5 places already.)
346960-0006	If I had time to drive to Tacoma before they closed during the work week, I would just so I could get those boots fixed properly again.
348247-0001	happy customer
348247-0002	Mr. Squeege is THE BEST.
348247-0003	Prompt, Clean Windows.
348247-0004	Affordable pricing.
348247-0005	Friendly responses.
348247-0006	How else can excellent be described for a business of this sort?
348247-0007	They have been my only "go-to" resource since we first did business together.
348247-0008	You will find the same to be true for you.
348369-0001	Awesome!!!!
348369-0002	Yes my G1 screen is back working.
348369-0003	They was about to Charge me $129...
348369-0004	But i paid $100.
348369-0005	they save me from having to deal with Tmobile...
348369-0006	Tmobile want to Send of my phone and i didn't want to go thru that...
348369-0007	3 Days For get that...
348369-0008	Great service.
348369-0009	I would recommend them to anyone..
349020-0001	I purchased a 2-year old certified pre-owned BMW from this dealership.
349020-0002	The night I drove back home, I found that the rear window has some leakage.
349020-0003	(You can hear the wind while driving on highway.
349020-0004	Very likely it needs a new window seal).
349020-0005	I admit that I should have paid attention to this kind of little things while test drive.
349020-0006	(But this is a certified car from a dealer.)
349020-0007	So I brought the car back the second day.
349020-0008	They told me that this is not under warranty and want to charge me $175 just to diagnose the problem!
349020-0009	Who knows how much they want me to pay to fix this thing.
349020-0010	I walked away.
349020-0011	So my advice is that NEVER TRUST THIS DEALER.
349020-0012	STAY AWAY AS FAR AS POSSIBLE.
351058-0001	One of the worst places
351058-0002	This place and its sister store Peking Garden are the worst places to order from.
351058-0003	the food was horrible not cooked like it should be, they got the order wrong on a number of occasions, and once forgot about my order.
351058-0004	i had to call back up there two hours later and the lady (who claimed to be a manager) said my food was on the way, and she didnt offer to compensate me in any kind of way.
351058-0005	i waited another 30 mins before receiving my food and it was cold.
351058-0006	in my opinon this place should be shut down by the health inspector, and anyone who is satisfied with there service and food has never eaten at a real asian restaurant.
351561-0001	Dumbest F'ers ever
351561-0002	I called dominos tonight, it rang forever, I get put on hold twice without saying a word and FINALLY someone says, MAY I HELP YOU?
351561-0003	So I say: I'm at the Radison Warwick hotel in Rittenhouse Square (built in 1926) do you deliver to the Warwick?
351561-0004	They say no, Warwick in New Jersey, Call New Jersey.
351561-0005	I laugh and say, no, that Warwick is in New York, but I'm at the Radison-Warwick.
351561-0006	And he says: You're at Warwick in Pennsylvania?
351561-0007	and I said, YES, CENTER CITY PHILLY, and he says, NO, Warwick is a township, If you're at a Radison in Warwick thats too far, try dominos in Pottstown.
351561-0008	I say, NO, I am at the RADISON WARWICK HOTEL in Rittenhouse Square.
351561-0009	He says: I not know that town, I have to get to work, I'm in PHILLY.
351561-0010	Call dominos in your town.
351561-0011	I SAY LISTEN: I'm at 17th and LOCUST, do you deliver there?
351561-0012	He says, I have to have an exact ADDRESS.
351561-0013	OK, 1701 LOCUST STREET i say.
351561-0014	he says: Why you tell me your in WARWICK TOWNSHIP?
351561-0015	He gives the phone to a girl, she says, I have to have your address, I say, do you deliver to 17th and locust, she says, your exact address, I say 1-7-0-1 Locust, ARe you sure? she asks?
351561-0016	YES I am sure, well, she says, is that ON 17th STREET.
351561-0017	Yes, I say.
351561-0018	17th, like over by 16th and 15th YES, I say, one mile west of you.
351561-0019	You're at 7th.
351561-0020	I am just south of Walnut.
351561-0021	She says, Is that 17th like over past broad.
351561-0022	YES, I am west of broad.
351561-0023	Broad, I say, is 14th street and I am 3 blocks west of broad and one south of walnut.
351561-0024	Hmmm, she says, Then why are you calling here, we don't go past broad?
351561-0025	Anyway, after much yelling and cussing I hung up, grabbed a cab, and went to Geno's.
351727-0001	Overpriced
351727-0002	This place is identical to the Youngstown Sports Grille, so I imagine they are owned/operated by the same people.
351727-0003	The food is mediocre at best, and largely overpriced given the portion size and quality.
351727-0004	Don't even get me started on how expensive it is to drink there.
351727-0005	I have ate here 3 times since they first opened, and the service has been poor each time, the staff always comes across as somewhat rude and slow.
351840-0001	Caldwell insurance has been doing our insurance for a couple years now and they have been extremely thorough.
351840-0002	We've only had one urgent issue to deal with and they were very prompt in their response.
351840-0003	Highly recommend!
351950-0001	local crew!!!
351950-0002	home team - thanks 4 playin!!!
352068-0001	Easy registration, helpful staff and fun teachers!
353684-0001	My favorite place to eat.
353684-0002	The Atmosphere is the best.. Italian music, candles, helpful and friendly staff... And the food is beautiful too !
353891-0001	Great Manicure
353891-0002	This place offers a great manicure and pedicure.
353891-0003	My nails looked great for the better part of 2 weeks!
353891-0004	Also very friendly and the stylists are not in the "been there/done that" mood!
354336-0001	Hidden Gem in Alpharetta
354336-0002	This French born, French trained chef and his creative partners offer a taste fresh, locally sourced, fabulously prepared food in the most unlikely of locations.
354336-0003	Try their weekend "tastings" which you can learn about by getting on their weekly email list.
354336-0004	It's the best meal for the money you will find in all of metro Atlanta.
354474-0001	Great work!
354474-0002	The people at Gulf Coast Siding were very easy and clear to work with.
354474-0003	They walked me through all the steps involved in the the installation project so that there were no surprises.
354474-0004	I found them extremely professional and would highly recommend them.
354474-0005	Thanks
354555-0001	the service is quick.
354555-0002	and the people are sweet :)
354860-0001	The best company in Phuket for creating website and e-commerce website.
354860-0002	From first meeting with them to launch of my website, everything went smooth and on schedule.
354860-0003	Highly recommended for who wants to have website.
354860-0004	Great with SEO as well.
355325-0001	My favorite florist!
355325-0002	I came to La Crosse to go to college, and my mom would send me birthday flowers though here.
355325-0003	They were beautiful and lasted forever!
355325-0004	Now that I live here, this is my favorite place to grab flowers for friends and coworkers!
355325-0005	Hands down, best place in the area!
356361-0001	Great service
356361-0002	A very well established service with a satisfying outcome.
356361-0003	A well communicated and will be hireing again for another projects......
356361-0004	Thanks
356705-0001	You were extremely polite and professional.
356705-0002	Very Impressed.
356705-0003	Great electrician.
356920-0001	I called on a Friday at 12:30 complaining of a severe toothache.
356920-0002	Dr. Obina told me that his office closed at noon and that I should call him on Monday.
356920-0003	I had been a patient of Dr. Olbina for 9 years and had spent thousands of dollars on crowns etc.
356920-0004	There are plenty of good dentists in Fernandina.
356920-0005	Don't go to Amelia Gentle Dentistry.
357217-0001	A Definite No
357217-0002	Incompetent servers, kitchen and management.
357217-0003	Expect either undercooked or mushy food and lackluster service.
357217-0004	The investors put big bucks into the building but are clueless about what makes a good dining or bar experience.
357217-0005	Even the least discriminating diner would know not to eat at Sprecher's.
358063-0001	Friendly Efficient and overall great place for people in chronic intractable pain
358063-0002	Great place for people in chronic pain.
358063-0003	Staff is very friendly they treat you like a human being and not just another patient.
358063-0004	Very efficient at treating chronic pain!
358702-0001	Slowest, Unfriendly Sstaff on Weekends
358702-0002	There are three Starbucks locations that I frequent.
358702-0003	I have a bit of experience watching the usual assembly line.
358702-0004	I also understand that weekend staffs are different than daytime staffs and not necessarily Starbucks A-team or even full-time.
358702-0005	But this location has the worst weekend staff I've seen EVER.
359014-0001	Good honest wrok
359014-0002	Harlan provides great service.
359014-0003	He is very knowledgeable and took the time to explain the repairs to me.
359014-0004	The work on my car was done quickly and I felt I could trust his work.
359014-0005	I have nothing but fantastic things to say.
359014-0006	I highly recommend his shop.
359287-0001	High guality pup food at a good price.
359433-0001	Great Place To Use The Fix appliances Plumbing Air Conditioning & Electric Problems.
359433-0002	We have used them for plumbing & A/C and they are affordable and get the work done right.
359433-0003	Great place 5 stars for sure.
359433-0004	Thanks From Bill
360698-0001	Its been a few years since I have been to Ipanema.
360698-0002	But my wife and I first went there thinking it would be Brazilian food (think lots of meat), but it turned out to be a vegan restaurant!
360698-0003	And, I can say, this was one of my favorite places to eat in all of Richmond.
360698-0004	Amazing!
360698-0005	Don't let the nondescript building entrance fool you, these are some creative and talented chefs...two thumbs way, way up!
360937-0001	I stopped in today @ Yards Brewery.
360937-0002	I must say, I was impressed with the size of the bar area and lounge, & I liked that you could see the brewery right thru the glass!
360937-0003	I had a sampler of IPA, Brawler, Love Stout & ESA.
360937-0004	All were awesome, & I had a Dogwood Grilled Cheese which was enjoyable with the fine beers.
360937-0005	After my sampler & sandwich, I asked for a pint of there Nitrogen Love Stout, I must say I was impressed, with the great taste & I am a Guiness Lover so coming from me, I think this is better, its less dry & smoother!
360937-0006	If you are in Philly you have to come check this place out!
360937-0007	The only negative I have abou this place is the parking!
360937-0008	I left with a case of BRAWLER!!!!!
361316-0001	best quote ever My gate was stuck halfway open so I calledA CLASS Garage Doors Dr Services.
361316-0002	They came to my house in no time and started working on the gate.
361316-0003	They were very friendly and were able to explain me exactly what was wrong with it.
361316-0004	Once they fixed it they answetred all of my questions with no hesitations and then gave me the best quote ever.
361316-0005	I know that if my garage door needs to be repaired, I will be calling A CLASS Garage Doors
361348-0001	HORRIBLE!!!!!
361348-0002	This has to be some of the worst pizza I have ever had the misfortune of ordering.
361348-0003	The crust was lopsided, thicker on one side than the other.
361348-0004	It actually had a hole in one of the slices.
361348-0005	There was minimal cheese and sauce and it completely lacked flavor.
361348-0006	I know New York pizza and this is not it!!
361348-0007	This was nothing like New York style pizza!!!.
361348-0008	I love pizza and this was a complete and utter disappointment!!
361348-0009	I would not suggest this pizza to anyone!!!
361545-0001	One suspects that earlier reviewer works for another laundry.
361545-0002	Outside of parking being at a premium, especially on discount days, The Laundry Tub is not filthy and it's no smaller than any of a dozen laundromats I've been in.
361545-0003	Yes, there are bigger, but bigger isn't necessarily better.
361545-0004	I availed myself of the wash 'n fold service, taking just about a year's worth of dirty clothes in and getting back neatly folded, clean clothes in clear plastic bags (I'd originally brought them in, in six large yellow garbage bags).
361545-0005	The cost was certainly reasonable and I will continue my patronage of The Laundry Tub in the future.
361545-0006	Didn't hurt any that they knew my name by my second visit and greeted me warmly then and on my third visit.
361545-0007	Whereas my answer to the question "Where do you get your laundry done?" used to be, "At the checkout line at WalMart," I can honestly say the answer now is, "At The Laundry Tub."
362073-0001	Great food and nice people very pleasant experience.
363234-0001	Excellent Tattoo Shop
363234-0002	I recently got a tattoo done at Aztec and I could not be happier.
363234-0003	It came out better than I even imagined.
363234-0004	The shop was great, the service was excellent and the employees were fun guys.
363234-0005	I would highly recommend this shop to anyone looking to get a quality tattoo done.
363428-0001	Pam the Pom
363428-0002	Fantastic couple of days.
363428-0003	Breathtaking views and fabulous accommodation.
363428-0004	Nothing too much trouble for Ian, thanks for a great stay.
363482-0001	The food is excellent, but very overpriced.
363482-0002	How do you run a cafe, with no refills on coffee-?
363633-0001	Favorite Restaurant
363633-0002	Best yellow curry that I have ever tasted.
363633-0003	Staff is super friendly and very attentive.
363633-0004	Price is also very reasonable.
363685-0001	Lots of rules, phantom innkeeper, last minute price was worth it.
363685-0002	I called the "207" number and listened to the same recording loop 3 times before I gave up.
363685-0003	I then called the 800 number (which was answered) and inquired about last minute rates.
363685-0004	They had a room with a $99 rate, which I booked.
363685-0005	The room was supposed to be on the 2nd floor, but they put us on the 3rd.
363685-0006	The email confirmation (which I read in the car) warned about large suitcases, declaring that we are innkeepers, not longshoreman.
363685-0007	In other words, they do not help with suitcases, but they promise totes to help.
363685-0008	However upon our arrival no one there (the inn was open).
363685-0009	So no totes.
363685-0010	Finally a chambermaid stuck her head around the corner from the top of the stairs and told us sternly that we could not be accommodated until 3M, no exceptions.
363685-0011	Then she was gone.
363685-0012	We returned after 3PM, found no one there, and a note from the innkeeper with directions to our room.
363685-0013	Rules in the room: #1) if you drink the soda from the fridge in your room you must prove it by leaving the can in the trash.
363685-0014	If they think you've taken a soda from your room home with you, they will charge you $1.50 per can.
363685-0015	They count the cans in the trash to make sure.
363685-0016	#2) If you take the shampoo products home, they will charge you $8 per item.
363685-0017	#) If you want a late checkout, (after 11 AM) they charge you $15 for the first hour, $25 for the second hour, and after 2PM it's a full day charge.
363685-0018	#4) Breakfast is 8AM to 10AM.
363685-0019	No earlier and no later.
363685-0020	If you go later, it's all cleaned up.
363685-0021	(By whom, I don't know.
363685-0022	I never saw anyone there.
363685-0023	All these rules are posted in the rooms.)
363685-0024	Snacks: uninspired bread, tea backs, and individual coffee things for a machine that didn't exist.
363685-0025	I put the coffee thing in hot water and settled for a cup of weak coffee.
363685-0026	No wine glasses.
363685-0027	Room was clean, but had a weird, dated, sink/stove combo that didn't work.
363685-0028	Bath was clean except shower stall which had mildew problems.
363685-0029	No tub.
363685-0030	The Inn touts a shower with dual shower heads, but only one worked.
363685-0031	Don't get the rooms off the two kitchens.
363685-0032	They are RIGHT OFF the kitchen so you hear everything.
363685-0033	Free parking.
363685-0034	I'd go back if I could get the last minute rate again of $99, but I wouldn't pay their rack rate.
363873-0001	Worst Apartments EVER
363873-0002	We lived here for 2 years, the first year or so was okay.
363873-0003	Then, the more power they gave to Linda, the worse the place got.
363873-0004	We were always having our water shut off, there were always people having parties at the pool, even after it was supposed to be closed.
363873-0005	The pool was supposed to close at 10 and they would have people down there until 11:45 yelling, playing music and do who-knows-what in the dark corners of the pool.
363873-0006	Then, when we moved out, we cleaned the apartment top to bottom, they came back and tried to charge us for two cleaning fees (and we never got our deposit back) and past utilities (that were already paid, we have check numbers and records of this).
363873-0007	Linda is the rudest person you will ever talk to and she sticks up for all of the trashy, rude people that live there, not the nice ones that actually give a crap about respecting others.
363873-0008	Do not live here, you will regret it!
364454-0001	A very satisfied new customer!
364454-0002	As a very satisfied new customer, I wholeheartedly recommend United Air Duct Cleaning.
364454-0003	They are professional, knowledgeable, and take meticulous care and pride in accomplishing their work.
364454-0004	Not only were my wife and I very pleased, but I also had the air duct quality tested professionally by the home inspector that I regularly use, before and after United Air Duct performed their work.
364454-0005	Based on the test results, the home inspector stated that the quality of their job was “excellent”.
365154-0001	Dr. Shady
365154-0002	Kelly hit the nail on the head.
365154-0003	"Dr. Shady" is a jerk.
365154-0004	After the way she spoke to me on my last visit, I will not be returning!!
365154-0005	Good luck keeping business with that stuck up attitude Dr. Shady.
365154-0006	You have just lost mine.
365154-0007	The next time you feel like being condescending to someone, it is not going to be me!!!!!!
365154-0008	Dr. Shady is inexperienced and prideful.
365154-0009	She probably does not even have 10% of the knowledge that some of the other EXPERIENCED vets do in this area.
365154-0010	I will be carefully researching vets before I take my dog someplace else.
365154-0011	Beautifully written reviews Doctor, but completely UNTRUE.
365630-0001	A+
365630-0002	I would rate Fran pcs an A+ because the price was lower than everyone else, i got my computer back the next day, and the professionalism he showed was great.
365630-0003	He took the time to explain things to me about my computer, i would recommend you go to him.
365630-0004	David
365688-0001	No meat on Burger and too much pepper.
365688-0002	no place to seat
366586-0001	They must have read these reviews and improved!
366586-0002	My husband and I happened in on a whim.
366586-0003	We sat in the front dining area, it was very cozy and pleasant.
366586-0004	Our server was quite attentive and the food was fantastic.
366586-0005	My husband has been a professional chef, so he is a good judge of quality food.
366586-0006	This was a flavorful, enjoyable meal for both of us.
366946-0001	Eulogic
366946-0002	Good place to be on a Sunday Night.
366946-0003	The beers were good, nice choice of beers as well, and as usual the mussels were great, the place upstairs is a nice addition to the bar downstairs.
366946-0004	Filled up on too much beer and hence cannot comment on the food.
366946-0005	But the menu had standard stuff that one would get at a Belgian Tavern.
366946-0006	If you are a handcraft beer person, this is a fantastic place to be.
367586-0001	Well kept facility with friendly staff.
368431-0001	Ray's pizza : my favorite
368431-0002	Ray's Pizza is just too good.
368431-0003	I wish I could have a slice for every single meal.
368431-0004	Luckily I live very close, so I can abuse it during week-ends...
369087-0001	The Best Service Ever!!
369087-0002	I have never had better service.
369087-0003	My car broke down and roadside towed my vehicle to Sussman Kia.
